run_id,algorithm,nodes,edges,source_node,target_node,time_sec,memory_peak_mb,energy_joules,cpu_energy_joules,path_found,path_length
38,Dijkstra,1000,5000,27,464,0.018103837966918945,0.29193115234375,0.2803561417946846,0.08311714284143157,True,9
38,Bellman-Ford,1000,5000,27,464,0.042098045349121094,0.3002004623413086,0.5913406488045372,0.15827564928003332,True,9
38,A_Star,1000,5000,27,464,0.01207113265991211,0.29417896270751953,0.1997912387195763,0.06854423934777945,True,9
39,Dijkstra,1000,5000,722,202,0.018990516662597656,0.3004903793334961,0.2963784854281482,0.0947904847916004,True,5
39,Bellman-Ford,1000,5000,722,202,0.04599905014038086,0.2999458312988281,0.6621152928723022,0.18668029435630892,True,5
39,A_Star,1000,5000,722,202,0.010997772216796875,0.29375457763671875,0.16935014157945458,0.05135214181075042,True,5
40,Dijkstra,1000,5000,49,516,0.018010854721069336,0.29450511932373047,0.25437962954211985,0.06665262851212175,True,6
40,Bellman-Ford,1000,5000,49,516,0.03808784484863281,0.2992057800292969,0.551681972369213,0.15244397314231503,True,6
40,A_Star,1000,5000,49,516,0.00810694694519043,0.29390716552734375,0.14379993833438495,0.04997493753046729,True,6
41,Dijkstra,1000,5000,772,837,0.01900959014892578,0.30150508880615234,0.29099194028135394,0.08966993934195489,True,8
41,Bellman-Ford,1000,5000,772,837,0.044068098068237305,0.2998924255371094,0.6716930905766785,0.2132190896607935,True,8
41,A_Star,1000,5000,772,837,0.006083250045776367,0.29366016387939453,0.12680963554944505,0.04693463619392028,True,8
42,Dijkstra,1000,5000,211,615,0.0,0.29103565216064453,0.043231226253344426,0.021283226768507368,True,3
42,Bellman-Ford,1000,5000,211,615,0.04100441932678223,0.3023519515991211,0.5787424522438933,0.15355145213994284,True,3
42,A_Star,1000,5000,211,615,0.001012563705444336,0.2920866012573242,0.041114105670797554,0.02050710591961714,True,3
43,Dijkstra,1000,5000,702,321,0.008092403411865234,0.3002786636352539,0.1383283434125849,0.051887342954731824,True,5
43,Bellman-Ford,1000,5000,702,321,0.037088632583618164,0.2960777282714844,0.5075598287515934,0.12244482879793613,True,5
43,A_Star,1000,5000,702,321,0.0020236968994140625,0.29402637481689453,0.0645079340309074,0.027271934551017528,True,5
44,Dijkstra,1000,5000,553,290,0.018998146057128906,0.2940244674682617,0.2922138773043302,0.08683387573330072,True,6
44,Bellman-Ford,1000,5000,553,290,0.04202699661254883,0.3003959655761719,0.6064787309986793,0.16928573263783683,True,6
44,A_Star,1000,5000,553,290,0.007010221481323242,0.2940073013305664,0.2523011401930443,0.16868414028376258,True,6
45,Dijkstra,1000,5000,943,182,0.017008543014526367,0.3009166717529297,0.26653151409531184,0.07795251589099116,True,7
45,Bellman-Ford,1000,5000,943,182,0.04199552536010742,0.2998924255371094,0.5598859052628025,0.13197490540218793,True,7
45,A_Star,1000,5000,943,182,0.00600743293762207,0.29370594024658203,0.11041529682486062,0.03348629661856896,True,7
